PRIMARY VOTES	RUNOFF VOTES	GENERAL VOTES 	
10783		95828	
9771			
7727			
4252			
4079			
2227			
1412			
40251			
78749		257950	
			
34511		151533	
24960			
59471			
18634		122325	
10638			
3023			
32295			
91766		283992	
			
59327		165332	
59327			
13186		132848	
5590			
4591			
2233			
2062			
27662			
86989		298180	
			
819582		2553746	
			
207715		1281181	
207715			
400321		1133621	
261285			
661606			
		15	
		3	
869321		2560102	
			
			
11912		222422	
92			
12004			
13217		162465	
11551			
143			
24911			
		4772	
		931	
		259	
36915		390849	
			
17467		211863	
3913			
39			
21419			
16604		161977	
10775			
57			
27436			
		7112	
		323	
48855		381275	
			
27757		202000	
218			
27975			
8382		168632	
145			
8527			
		9352	
		6286	
		572	
36502		386842	
			
38238		200063	
420			
38658			
10765		169470	
88			
10853			
		8124	
		226	
49511		377883	
			
171783		1536849	
			
			
79633		211337	
79633			
79633		211337	
			
64008		167463	
64008			
11747		113735	
10353			
7627			
29727			
93735		293718	
			
50270		201087	
50270			
50270		293762	
			
60195		161094	
60195			
11224		81770	
4618			
15842			
76037		258922	
			
299675		1057739	
			
			
19127		87199	
13239			
32366			
32366		287155	
			
		6304	
		4914	
		282267	
			
43635		206385	
6716			
50351			
		4819	
50351		322656	
			
19689		186036	
12557			
6521			
3514			
783			
598			
257			
43919			
17209		104734	
7869			
25078			
		8674	
68997		299444	
			
		9987	
		290677	
			
12275		55447	
11016			
23291			
23291		250855	
			
20104		153222	
2823			
1354			
24281			
		8340	
24281		303000	
			
199286		2036054	
			
			
		290410	
			
		38801	
		287354	
			
		7908	
		311393	
			
		249531	
			
		202536	
		260216	
			
		306713	
			
		1705617	
			
			
31965		236363	
31965			
14588		128440	
14330			
28918			
60883		364803	
			
21895		191456	
21895			
18703		137542	
12465			
31168			
53063		328998	
			
113946		693801	
			
20732		215399	
16064			
12576			
7722			
6875			
6309			
68			
70346			
22974		92900	
18546			
6414			
4007			
51941			
		10289	
		5807	
		5624	
122287		700599	
			
			
44599		214204	
44599			
10907		92812	
10850		14858	
3564			
25321			
		12857	
		2932	
		71	
		26	
69920		337760	
			
26465		194088	
26465			
12372		92071	
4998			
2392			
500			
324			
20586			
		9344	
		415	
		22	
47051		295940	
			
32527		213747	
5111			
37638			
6845		94549	
5874			
4809			
2935			
20463			
		11028	
		535	
58101		319859	
			
42815		240385	
2359			
1464			
46638			
9175		64560	
2977			
1443			
1370			
14965			
		6204	
		363	
61603		311512	
			
36961		238618	
6688			
43649			
17329		95271	
3289			
2903			
23521			
		388	
67170		343820	
			
20414		181921	
10981			
3590			
1572			
1131			
37688			
17600		117313	
7987			
4115			
3073			
2854			
2843			
970			
933			
40375			
		9916	
		399	
78063		309549	
			
