PRIMARY	RUNOFF	GENERAL
77452		825537
87179		
27385		56320
57314		
32250		777502
31653		478640
34363		
8653		19843
3402		
3655		
73923		
13708		301376
22361		872881
73570		
31627		
81550		77638
6189		
81117		
90638		408838
51577		713752
67161		
3914		88868
8438		
24871		152341
73893		677816
39196		
18786		303241
74491		
6923		
3584		
34824		
358805		495771
16151		311322
28745		
62259		
3829		
7122		
7010		
594		
537		
58593		
63051		74792
7042		
3257		
2841		
9605		
45660		
401626		824569
14144		414018
98554		
94108		85545
88485		
7269		
72655		
		5200
41879		230976
15090		470485
22070		
24454		102329
13538		
		357
29317		330452
29679		484923
99340		
39153		
80208		37757
56388		
60401		
38709		386733
85999		430179
74676		
578		37259
178		
17596		811647
42159		524269
46054		
93580		
1849		
65424		
74834		
78514		
90815		
44209		207103
2354856		6476139
2965		
3181		
5980		
4870		
8596		
9461		
9989		
353		
100		
84473		
34712		
25362		113120
5326		
8335		
15000		
		70025
27000		523142
2241		75881
7912		
18370		
42850		138707
77568		66662
94559		
7115		
27248		
53137		868453
		884055
14174	11135	809474
32535	15757	
2982		
1180		
4357		
9355		
38934	92838	
61950		48179
27265		
96849		
		5582
21405	52217	320785
233489	67514	607364
63518		165301
5725		
5753		
8818		
849		
48544		
52444		40708
464		
29374		
		889
300956		522119
30353		372115
9409		
559		
61817		
11117		67582
55980		
2973		
2419		
885		
55775		
		199
480099		898148
19360		577450
6478		
488		
79526		
339		63437
7508		
7648		
		417
78846		584260
79645		370409
644		
36021		
66180		609304
9163		
468		
33615		
		331
412166		220282
75422		941869
908		
35324		
88036		484118
167		
11626		
		948
207372		813285
961289		4116973
118139		5845914
54448		
73874		
3945		
166948		
364684		1219413
1495		
946121		
		6793
5550952		5087069
53830		984538
13290		
		21
39210		716313
21172		284266
51811		
2941		12854
5739		
		6931
13381		716556
96443		904888
654		
48769		
58002		89970
895		
91738		
		7507
		355
22300		502124
79816		242242
87378		
669		
67088		
53398		576084
403		
38622		
		957
75258		643093
42272		272799
954		
34619		
38215		44141
457		
96725		
		436
87391		364393
80011		828021
80025		
13156		841224
1512		
38308		
43273		554758
43682		431975
75884		
74602		446474
75501		
		750
21820		238457
73895		313458
6767		
4		
81203		
83376		178387
76		
42682		
		68
50372		552723
12919		494093
869		
26627		
1287		39980
287		
7990		
		814
82897		100330
12100		480731
451		
53473		
83848		28883
75741		
524		
48236		
		834
49247		909924
70384		757290
41		
30760		
48360		61067
99		
12856		
		90
52049		974751
90821		314188
764		
60476		
52115		13376
696		
82147		
		64
33798		802939
95474		435849
97122		
53024		28888
71043		
82651		477370
31792		423063
49748		
483		
28749		
247		
683		
		53790
		104
14243		886504
49817		805973
13393		
5784		18452
3096		
903		
8922		
		8304
		13
44850		565857
91632		599866
49818		
15965		40766
29199		
		4276
		82
16973		103468
31920		182596
43750		
64394		56615
53552		
		74
29047		647921
38385		652449
318		
97852		
56947		102536
49583		
526		
29528		
		565
84570		890360
32271		18253
7		
62761		
24620		197471
58		
78918		
		1420
		869
77035		444624
3611025		9041945
99903		109530
2718		
7556		
77000		
27912		874007
68718		
99697		
		665
		36
		79
		48
		72
		3
		7
		5
		5
		4
		2
		1
214724		442676
56033		158377
45061		
45802		72914
6271		
99128		
		77871
		2
		1
		3
38086		360867
16883		970626
54548		
40159		
		84277
		93
		53
		90
		2
		3
		9
		3
80937		874577
88721		451222
1366	1904	81414
8100	3272	
4533		
90692	2049	
		2684
		707
20137	2046	183221
58689		79050
6036		
79786		
		113
42331		805023
8468		47195
1523		
49525		
		5931
		78
16889		295272
		85
		583823
		55
		913729
		35
		492704
32554	3012	5097409
		667454
		254946
217551		985847
629284		
88028		
4205		
685117		
476315		811694
64309		
33719		43
73849		
6640		
33		
929671		
		20553
		4692
		1750
		6014
		8126
		84
		6
		5
701688		5652664
37746		808587
81090		
19430		
92217		
8489		
8464		
8101		
1098		
292		
871		
688		
250		
298		
59551		
9543		15612
3139		
8505		
3501		
71369		
		4093
		2004
		194
		949
67922		574139
32619		516043
5326		
58455		
3630		66034
3072		
66359		
23011		909560
53919		450572
7469		
9696		
9801		
11729		
93591		72551
79069		
41156		
93639		187689
47135		944431
5253		
5154		
41344		
32024		44957
56931		
50033		
68856		
908026		453272
35427		256514
1896		
23436		
73626		17703
93876		
		8226
		6939
62493		496415
55266		389014
6790		
38805		
54708		30969
34605		
		7087
		958
73905		195220
48663		389157
17364		
44090		56355
95883		
75891		
		1501
		175
		532
		940
		618
11059		550228
69516		817450
83269		
48452		41798
4198		
87467		
		3
43419		619509
11448		405364
24152		
2411		
3037		
2429		
2689		
5702		
3800		
1277		
653		
416		
915		
785		
534		
228		
48796		
95316		28004
6897		
1550		
4934		
260		
25864		
		42726
74972		715995
324899		1716365
824558		3274555
182412		
459366	353988	9477707
147700	75579	
24305		
200942	708768	
3748133	907578	8883537
92524		206095
48757		
70476		99707
8192		
64459		
99529		364040
62195		70260
84696		
48832		91050
11344		
51651		425489
31838		37460
2622		
82180		
2698		36113
3645		
58557		376177
63203		705648
88304		
32484		19954
46595		
50403		726823
58822		98248
41599		
9468		40585
1986		
49706		363862
47987		36344
69757		
1115		64267
2724		
74680		267058
53488		83817
73477		
4210		12317
8609		
1674		
38170		269433
39144		405157
89335		
37986		64765
86234		
23503		134027
90548		60347
90516		
60427		20282
93206		19779
12803		
8507	5316	78886
1830	4088	
3417		
8136		
30043	6879	
48530	7525	488757
27168		308855
71772		
66825		402435
20167		47261
70236		
9386		74625
6696		
81192		233256
13799		608505
45811		
50987		14450
20545		
54995		485665
44086		39910
9476		
78029		
36319		21292
41839		
87251		349607
36071		
1270		
13737		
42526		15287
68496		
77467		51788
23737		82124
77717		
48462		36639
62314		
65001		
77239		932996
1863		17679
3363		
1469		88154
9491		
52146		19023
69088		54834
67029		
3349		98467
5769		
		312
12371		540004
98226		11546
13813		
29651		33389
36868		
41296		
64420		
7721		56977
4395		
10636		
1283		
1940		
7959		
51438		
		16566
		959
		22
32881		912246
50888		
67572		
63022		
8482		84812
4238		
7065		84053
4063		
46405		970348
58419		
84194		
59447		92165
88837		
1141		61447
4449		
43441		198916
