PRIMARY	RUNOFF	GENERAL 		
88630				
25919		101532		
6268				
32187				
165		6123		
161				
326				
296		3912		
296				
121439		225056		
				
34117		102076		
34117				
23078		84578		
3963				
3469				
2748				
1185				
34443				
310		3077		
310				
192		1692		
192				
69062		191423		
				
54566		154103		
11608				
66174				
30233		67762		
30233				
		47		
96407		221912		
				
38218		141010		
30401				
14561				
9312				
4552				
4473				
2173				
844				
104534				
9210		67545		
5489				
14699				
354		13866		
354				
		10		
119587		222431		
				
47880		128499		
25118				
72998				
27874		56377		
27874				
		7193		
241		3930		
241				
101113		195999		
				
59684		162724		
12248				
71932				
291		46817		
229				
520				
		748		
		69		
72452		210358		
834444		1920675		
				
				
411040		1054160		
75663				
40744				
15099				
8731				
8525				
8047				
6309				
5190				
579348				
266349		789736		
33731				
17511				
317591				
2069		58663		
1460				
3529				
819		41309		
554				
511				
1884				
		14		
		7		
		4		
		3		
		2		
		1		
902352		1943899		
				
96796		217696		
25344				
7461				
129601				
24014		121954		
15177				
13170				
10138				
62499				
192100		360341		
192100		360341		
				
55283		116871		
6536				
3800				
65619				
2107				
464				
253				
2824				
11573		47106		
11283				
4014				
3927				
30797				
676				
564				
173				
131				
1544				
100784		163977		
				
18172		93840		
10445				
28617				
371				
306				
677				
12333		60486		
12333				
135				
135				
41762		154326		
				
65539		117275		
8930				
74469				
125				
49				
174				
16425		29932		
16425				
43				
43				
		20036		
91111		167243		
233657		485546		
				
7214		58995		
5922				
5277				
4318				
2051				
1293				
456				
440				
26971				
		2847		
		2118		
26971		167206		
				
72728		169458		
14162				
86890				
18609		87421		
18259				
4156				
41024				
		10829		
127914		267708		
				
36898		128916		
8853				
6066				
1812				
53629				
32119		127168		
7846				
39965				
		6473		
		4026		
		1291		
93594		267874		
248479		702788		
				
				
87366		362785		
12335				
9715				
4644				
1938				
115998				
70424		321361		
45871				
40926				
6926				
4803				
3090				
1483				
698				
462				
355				
235				
223				
178				
175674				
		16197		
		5811		
		4261		
		3185		
		3175		
		2510		
		2119		
291672		721404		
				
22237		121655		
19418				
19376				
5337				
1158				
1051				
702				
397				
146				
69822				
19405		95503		
717				
20122				
		7966		
		299		
89944		225423		
				
27457		108610		
22868				
11145				
1757				
1192				
218				
64637				
25431		105060		
10100				
320				
35851				
		6197		
		4796		
		439		
100488		225102		
190432		450525		
				
53056		273218		
51397				
19508				
12611				
1388				
499				
402				
138861				
49845		167545		
49845				
		9194		
		4753		
		439		
188706		455149		
				
14695		106334		
2262				
16957				
5315		58562		
2718				
1401				
264				
9698				
		1593		
		1257		
		521		
26655		168267		
				
19337		109460		
2984				
2451				
24772				
5441		51690		
5441				
		4120		
		727		
		1123		
30213		167120		
				
17250		110215		
11304				
28554				
11833		104252		
3916				
15749				
		3284		
		1445		
		1113		
44303		220309		
				
21723		129752		
9839				
31562				
7976		52118		
7976				
		2912		
		1574		
		582		
39538		186938		
				
29523		124030		
29523				
5711		62634		
1478				
7189				
		2347		
		1646		
		336		
36712		190993		
				
11667		81933		
11667				
6804		65413		
6721				
13525				
		1299		
		1017		
25192		149662		
				
17200		105084		
9475				
2534				
1448				
30657				
8176		71902		
8176				
38833		176986		
				
13213		88478		
13213				
5739		51023		
1333				
7072				
		1707		
20285		141208		
				
14973		83564		
14973				
5830		52082		
3629				
567				
10026				
		1980		
24999		137626		
				
22155		95299		
22155				
1061		14357		
1061				
		1141		
		1080		
23216		111877		
				
32631		122149		
10060				
42691				
6192		55472		
2466				
8658				
		4179		
51349		181800		
				
14480		108214		
14480				
8927		93634		
7569				
