PRIMARY	RUNOFF	GENERAL 
51406		
512071		
		1655
1847123		4271970
43293		194577
43293		
46785		119388
46785		
1		
1		
1		
1		
1		
1		
1		
7		
1		
1		
1		
1		
1		
1		
1		
1		
1		
1		
1		
1		
1		
1		
14		
90099		313965
90099		313965
60454		155455
60454		
46408		140683
46408		
		67
106862		296290
41987		148671
28897		
2126		
73010		
57673		124213
29616		
12455		
99744		
		30
172754		331624
61915		200204
61915		
51416		115976
33268		
11164		
95848		
157763		316180
66771		186154
66771		
59693		99499
59693		
126464		285653
54093		188905
12347		
5873		
72313		
64450		105840
64450		
136763		294745
114409		176330
114409		
38401		92968
38401		
152810		283110
42499		174915
25984		
4817		
4030		
77330		
32826		125547
30029		
9243		
6118		
5236		
5024		
88476		
165806		300462
65271		202063
65271		
52602		95510
52602		
117873		297573
118814		222054
118814		
14703		76512
11693		
26396		
145210		298566
72646		157268
50760		
9362		
7264		
4339		
144371		
22401		107918
5844		
28245		
		10623
172616		275809
131857		
131857		
9123		36708
9123		
		144
140980		249542
63450		197447
6681		
70131		
48873		152234
32836		
13868		
95577		
165708		360388
105802		192593
105802		
12064		105050
10093		
7852		
		37
30009		
135811		297680
53036		188488
53036		
62263		125214
21352		
16339		
99954		
		9511
152990		323213
85840		139584
85840		
33838		137272
17499		
51337		
137177		303838
71038		169044
40429		
111467		
33534		136293
29735		
7448		
70717		
182184		305337
138610		218896
138610		
18683		61216
18683		
157293		280112
87503		164187
15980		
103483		
23598		110031
18612		
13483		
4620		
60313		
163796		274218
2690860		5374340
33563		193404
3025		
36588		
11116		98890
8842		
19958		
56546		292294
66041		173757
11438		
77479		
77479		246572
		264359
		272781
12902		88996
9003		
21905		
21905		260921
155930		1336927
116371		763375
10770		
7306		
3800		
138247		
113795		527736
76981		
190776		
329023		1346819
91466		237567
19659		
5982		
285		
117392		
29658		58279
12525		
829		
43012		
		4110
160404		332248
83087		236560
721		
83808		
56980		87649
1247		
58227		
		5817
		685
142035		340379
121176		254235
9389		
8783		
343		
139691		
22114		71063
712		
22826		
		15063
		701
162517		341062
119366		275143
955		
120321		
		43133
		13162
2345		
906		
3251		
		2708
123572		334146
51980		181577
18597		
17643		
6104		
1748		
482		
96554		
37217		128297
36005		
4110		
302		
77634		
		1326
174188		334674
762716		1682509
246482		864392
230889		
38367		
12647		
12056		
6127		
3398		
549966		
296330		805159
48560		
2068		
346958		
		92565
		5388
896924		1767504
116334		242799
116334		
4637		24714
4637		
120971		267513
161022		276870
161022		
4521		
4521		
165543		311336
43858		146846
24672		
18584		
10532		
97646		
42636		139757
42636		
140282		286603
112049		186536
112049		
42854		147411
42854		
154903		333947
13988		155513
13153		
12860		
9921		
7094		
5083		
4550		
4376		
1916		
72941		
30358		112509
25920		
17921		
74199		
147140		274177
39232		179423
39232		
82540		164952
82540		
121772		344375
91272		209955
91272		
52733		142362
52733		
144005		352317
100788		197869
100788		
35610		145103
35610		
136398		348515
57890		174951
57890		
58522		98735
58522		
116412		273686
71988		160837
71988		
34129		124681
31102		
65231		
137219		285518
93120		146379
93120		
27710		137151
27710		
120830		283530
112082		155268
112082		
3165		113120
3165		
115247		268388
98696		196868
98696		
27169		108271
27169		
125865		313513
134298		242326
134298		
134298		265540
27875		181433
27875		
73734		128333
73734		
101609		309766
49740		170329
49740		
59246		120193
59246		
		11768
108986		305167
79551		192699
79551		
49123		109909
49123		
128674		302608
39780		213349
39780		
52247		119661
48224		
15733		
116204		
155984		333010
57198		218862
57198		
69068		109533
69068		
126266		328395
		3380
		3380
2502404		5791284
440672		1010304
248127		
50590		
64		
739453		
		46126
		37865
		3719
739453		1908125
739453		1908125
25493		145254
25493		
44		51340
44		
		15108
		29
		20
		20
		8
		5
		214
25537		211998
20018		158416
20018		
1030		67433
1030		
		31
		17
		14
		6
		5
		5
		307
21048		226234
46585		438232
48109		320644
7286		
55395		
1068		116174
1068		
		809
		262
		67
		33
		13
		10
		10
		9
		8
		7
		5
		761
56463		438812
42588		177540
11488		
6718		
60794		
9107		163724
4871		
13978		
		615
74772		341879
44783		184583
7831		
52614		
16911		158627
8219		
25130		
		276
77744		343486
		218
		288741
37571		184440
18545		
56116		
6189	5312	113291
4900	2479	
3879		
14968	7791	
		1865
71084	7791	306928
		125
		306285
		134
		286571
223600	7791	1873890
187736		1076534
93125		
280861		
74185		790621
73127		
147312		
		4276
428173		1871431
		379007
		379007
34598		142784
13047		
4983		
52628		
52628		380673
25993		168343
25511		
329		
51833		
4123		57525
1968		
6091		
1		3988
1		
57925		234381
50722		227120
50722		
10006		63639
6765		
16771		
67493		290759
31782		184964
3125		
34907		
13122		73059
13122		
		3750
		7
48029		266628
30487		146776
3233		
33720		
13363		94447
4199		
3749		
21311		
		4869
55031		249805
17985		181467
17985		
5482		85471
2225		
7707		
		4
25692		275602
21752		194264
21752		
723		
723		
22475		261028
30997		217332
19025		
50022		
12003		99549
3535		
15538		
65560		316881
24844		180465
24844		
23		54
23		
24867		180519
50306		198798
11817		
914		
180		
172		
63389		
		11003
63389		226282
430461		2301885
244222		1579477
244222		
59050		767236
39119		
33471		
32309		
14702		
4697		
183348		
427570		2424585
49035		189012
49035		
49035		215826
36562		175101
36562		
36562		196914
36050		170742
3466		
1952		
41468		
33592		108693
13305		
46897		
88365		285783
41764		206906
5835		
5492		
2965		
852		
56908		
37416		88067
27766		
65182		
122090		300744
45803		162894
45803		
45803		194861
42054		174008
42054		
33021		99919
31959		
64980		
107034		280582
44477		162635
44477		
55771		123242
55771		
100248		290934
51011		207128
51011		
55817		70758
55817		
106828		285451
73657		143868
73657		
73657		153628
44214		179493
44214		
51977		143719
33072		
85049		
129263		333083
61409		189625
61409		
61409		214676
49374		181662
49374		
48975		82250
48975		
98349		268754
56807		180078
56807		
35649		51841
35649		
92456		231919
37777		191293
15859		
53636		
53636		191293
77227		107578
77227		
8370		52303
8370		
85597		163708
75058		130375
18274		
93332		
93332		158723
60557		134592
60557		
44448		115581
44448		
105005		254022
78161		148617
78161		
5638		39095
1539		
7177		
85338		192198
54099		168501
54099		
26966		58030
16786		
43752		
97851		232611
52245		127298
52245		
10409		44585
10409		
62654		177055
64350		243471
64350		
64350		304350
11634	15511	161996
16697	7125	
8399		
8169		
5864		
2116		
992		
989		
880		
424		
56164	22636	
73831		140160
73831		
129995	22636	308995
71716		134090
71716		
18681		100799
11671		
30352		
102068		240470
30378		151434
30378		
49166		111089
49166		
79544		270495
110108		191755
110108		
23213		88693
23213		
133321		291296
41328		195181
41328		
