PRIMARY VOTES	RUNOFF VOTES	GENERAL VOTES 		
7511				
48301				
24268		40998		
5485				
29753				
		7549		
78054		166268		
				
14604	19374	95632		
13445	13319			
9232				
7760				
7022				
2898				
54961	32693			
8507	10417	57790		
11603	8793			
7431				
27541	19210			
		2176		
		2065		
		1470		
82502	51903	159133		
				
312627	51903	653413		
				
				
				
50903		160038		
601				
51504				
16466		96245		
15521				
6637				
312				
38936				
				
		594		
90440		279253		
				
				
64603		202374		
20745				
185				
85533				
24407		73785		
7996				
6103				
1007				
39513				
				
		775		
125046		287425		
				
69753		211748		
969				
70722				
15083		57424		
338				
15421				
		4009		
				
				
		1089		
86143		292757		
				
57970		181624		
1016				
58986				
45391		116534		
1255				
46646				
				
		482		
105632		310179		
				
42041		150944		
8106				
445				
50592				
				
31883		110332		
18595				
268				
50746				
				
				
		732		
101338		281088		
				
508599		1450702		
				
				
47565		131248		
60				
47625				
6995		27193		
19				
7014				
54639		158441		
				
82167		181141		
71				
82238				
3117		25397		
6				
3123				
85361		206538		
				
33475		113859		
279				
33754				
30153		73931		
355				
30508				
64262		187790		
				
35020		147090		
191				
35211				
24312		50250		
600				
24912				
60123		197340		
				
37564		115018		
416				
37980				
18172		65839		
15603				
335				
34110				
72090		180857		
				
24313		119643		
15				
24328				
27359		92901		
24				
27383				
51711		212544		
				
31020		145869		
37				
31057				
29444		89256		
29				
29473				
60530		235125		
				
22170		137731		
0				
22170				
18440		84767		
17623				
0				
36063				
58233		222498		
				
24465		110094		
16021				
5885				
153				
46524				
30938		63223		
802				
31740				
78264		173317		
				
32538		112851		
271				
32809				
22860		44737		
257				
23117				
		22734		
55926		180322		
				
29772		122464		
116				
29888				
28567		62228		
520				
29087				
58975		184692		
				
23291		127993		
177				
23468				
32971		87928		
15547				
204				
48722				
72190		215921		
				
24775		123601		
16723				
10130				
9386				
5				
61019				
10211		60549		
5312				
4				
15527				
76546		184150		
				
57039		148351		
10806				
8				
67853				
32				
32				
67885		148351		
				
20700		128285		
13				
20713				
403				
403				
21116		128285		
				
25611		101722		
318				
25929				
14386		74513		
8541				
40				
22967				
48896		176235		
				
47992		93680		
686				
48678				
9227		71371		
7000				
4465				
154				
20846				
69524		165051		
				
19575		166076		
111				
19686				
970				
970				
20656		166076		
				
		5670		
1076927		3329203		
				
38264		87060		
22467				
60731				
6528		58877		
2484				
9012				
		407		
		9		
69743		146353		
				
44600		105716		
44600				
14144		63844		
14144				
		338		
		6		
58744		169904		
				
128487		316257		
				
				
		8423		
		127815		
				
43687		121649		
9842				
53529				
6699		68719		
5663				
12362				
		282		
65891		194808		
				
4989		47181		
2501				
7490				
		87		
7490		164009		
				
		628		
		149049		
		82		
		175145		
				
37429		125747		
6101				
43530				
10377		44311		
5231				
15608				
		198		
59138		173432		
				
		115		
		171524		
				
132519		1155782		
				
				
				
		276319		
		276319		
				
				
73212		115533		
7582				
6663				
87457				
		9906		
		9869		
		4148		
		14		
87457		139470		
				
50532		120883		
33054				
83586				
12715		37612		
12715				
		4223		
		4033		
96301		166751		
				
46556		97344		
45082				
2				
91640				
23646		53983		
23646				
		4770		
115286		156097		
				
34793		84815		
34755				
4592				
1483				
938				
659				
284				
77504				
22859		51357		
22859				
		9246		
100363		145418		
				
40831		96148		
40831				
11415		55078		
9004				
5330				
4434				
30183				
		3050		
71014		154276		
				
67907		115231		
20664				
88571				
22347		37232		
22347				
		9634		
110918		162097		
				
64984		110534		
12202				
77186				
20266		42280		
4751				
25017				
		5093		
102203		157907		
				
68472		122255		
11823		4		
6339				
1				
86635				
9400		42433		
9014				
5547				
3105				
27066				
		4451		
		3452		
113701		172595		
				
45423		87376		
22336				
876				
68635				
18579		27173		
18579				
		766		
		752		
		483		
87214		116550		
				
884457		1371161		
				
				
57830		115084		
57830				
7240		33476		
7240				
65070		148560		
				
34863		101936		
34863				
5906		44462		
5906				
				
40769		150026		
				
31178		113404		
3004				
2435				
2086				
38703				
38703		138280		
				
18917	22271	115085		
29848	19899			
10601				
2812				
2290				
1252				
65720	42170			
65720	42170	115085		
				
41634		88998		
41634				
41634		104262		
				
32618		92334		
12272				
44890				
11727		55027		
11727				
56617		150996		
31065		90606		
31065				
4098		49478		
2491				
6589				
37654		143219		
				
42368		125066		
19687				
62055				
				
62055		140013		
				
13442		78109		
13442				
13442		86003		
				
38406		109726		
38406				
13915		60243		
13915				
52321		176460		
				
53272		107939		
19010				
72282				
72282		119574		
				
39907		113186		
39907				
9700		41757		
9700				
				
49607		158730		
				
45168		110842		
12330				
8723				
66221				
4842		16822		
4842				
71063		131451		
				
34131		90116		
34131				
9780		52545		
3699				
853				
14332				
48463		145698		
				
29916		48708		
29916				
7810		39016		
6407				
